type,description
Fighting,"['Metal'],Sol Burst-GX,'Search your deck for up to 5 Energy cards and attach them to your Pok\u00e9mon in any way you like. Then, shuffle your deck. (You can't use more than 1 GX attack in a game.)',"
Water,"['Water', 'Colorless'],Water Pulse,'Your opponent's Active Pok\u00e9mon is now Asleep.',30"
Water,"['Water', 'Colorless', 'Colorless'],Shining Currents,'If any of your Water Pok\u00e9mon were healed during this turn, this attack does 60 more damage.',60+"
Psychic,"['Psychic'],Shadowy Echoes,'Put a Basic Pok\u00e9mon from each player's discard pile onto its owner's Bench.',"
Psychic,"['Colorless', 'Colorless'],Surprise Attack,'Flip a coin. If tails, this attack does nothing.',40"
Grass,"['Grass'],Fury Attack,'Flip 3 coins. This attack does 10 damage for each heads.',10\u00d7"
Colorless,"['Colorless', 'Colorless'],Mix-Up,'Flip a coin. If heads, discard the top 3 cards of your opponent's deck.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Tantrum,'This Pok\u00e9mon is now Confused.',120"
Lightning,"['Colorless'],Iron Tail,'Flip a coin until you get tails. This attack does 20 damage for each heads.',20\u00d7"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Thunder,'Flip a coin. If tails, this Pok\u00e9mon does 20 damage to itself.',80"
Lightning,"['Lightning'],Thunder Shock,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',10"
Lightning,"['Colorless', 'Colorless', 'Colorless'],Fly,'Flip a coin. If tails, this attack does nothing. If heads, prevent all effects of attacks, including damage, done to this Pok\u00e9mon during your opponent's next turn.',30"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless', 'Colorless'],Crimson Dive,'This Pok\u00e9mon does 50 damage to itself.',300"
Water,"['Water', 'Water', 'Water'],Hydro Bombard,'This attack does 30 damage to 2 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',120"
Water,"['Water', 'Colorless', 'Colorless'],Smash Turn,'Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.',50"
Psychic,"['Colorless'],Supernatural Dance,'For each Pok\u00e9mon in your opponent's discard pile, put 1 damage counter on your opponent's Pok\u00e9mon in any way you like.',"
Psychic,"['Colorless'],Revelation Dance,'If there is no Stadium card in play, this attack does nothing.',30"
Lightning,"['Colorless'],Iron Tail,'Flip a coin until you get tails. This attack does 20 damage for each heads.',20\u00d7"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Electro Ball,'',50"
Lightning,"['Colorless'],Iron Tail,'Flip a coin until you get tails. This attack does 20 damage for each heads.',20\u00d7"
Lightning,"['Lightning', 'Lightning', 'Lightning'],Thunderbolt,'Discard all Energy from this Pok\u00e9mon.',100"
Water,"['Colorless'],Ram,'',10"
Water,"['Water', 'Colorless'],Rain Splash,'',20"
Grass,"['Grass', 'Grass'],Stare,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.) If that Pok\u00e9mon has a Pok\u00e9mon Power, that power stops working until the end of your opponent's next turn.',10"
Grass,"['Grass', 'Grass', 'Grass'],Poison Vapor,'The Defending Pok\u00e9mon is now Poisoned. This attack does 10 damage to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',20"
Water,"['Water', 'Water'],Hydrocannon,'Does 30 damage plus 20 more damage for each W Energy attached to Dark Blastoise but not used to pay for this attack. You can't add more than 40 damage in this way.',30+"
Water,"['Water', 'Colorless', 'Colorless'],Rocket Tackle,'Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. (Any other effects of attacks still happen.)',40"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Giant Tail,'Flip a coin. If tails, this attack does nothing.',"
Fighting,"['Fighting', 'Fighting'],Knock Down,'Your opponent flips a coin. If tails, this attack does 20 damage plus 20 more damage; if heads, this attack does 20 damage.',20+"
Grass,"['Grass', 'Grass'],Flitter,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)',20"
Psychic,"['Psychic'],Psypunch,'',20"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Bench Manipulation,'Your opponent flips a number of coins equal to the number of Pok\u00e9mon on his or her Bench. This attack does 20 damage times the number of tails. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)',20\u00d7"
Lightning,"['Colorless', 'Colorless'],Sonicboom,'Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)',20"
Lightning,"['Lightning', 'Lightning'],Magnetic Lines,'If the Defending Pok\u00e9mon has any basic Energy cards attached to it, choose 1 of them. If your opponent has any Benched Pok\u00e9mon, choose 1 of them and attach that Energy card to it.',30"
Grass,"['Grass', 'Grass', 'Grass'],Petal Whirlwind,'Flip 3 coins. This attack does 30 damage times the number of heads. If you get 2 or more heads, Dark Vileplume is now Confused (after dealing damage).',30\u00d7"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Teleport Blast,'You may switch Dark Alakazam with 1 of your Benched Pok\u00e9mon (Do the damage before switching the Pok\u00e9mon).',30"
Psychic,"['Psychic', 'Psychic', 'Psychic'],Mind Shock,'Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)',40"
Grass,"['Grass', 'Grass'],Stare,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.) If that Pok\u00e9mon has a Pok\u00e9mon Power, that power stops working until the end of your opponent's next turn.',10"
Grass,"['Grass', 'Grass', 'Grass'],Poison Vapor,'The Defending Pok\u00e9mon is now Poisoned. This attack does 10 damage to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',20"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Giant Tail,'Flip a coin. If tails, this attack does nothing.',"
Water,"['Water', 'Water', 'Water'],Ice Beam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',30"
Fighting,"['Fighting', 'Fighting'],Mega Punch,'',30"
Fighting,"['Fighting', 'Fighting', 'Fighting', 'Colorless'],Fling,'Your opponent shuffles his or her Active Pok\u00e9mon and all cards attached to it into his or her deck. This attack can't be used if your opponent has no Benched Pok\u00e9mon.',"
Psychic,"['Psychic'],Haunt,'Put 1 damage counter on your opponent's Active Pok\u00e9mon.',"
Psychic,"['Colorless', 'Colorless'],Astonish,'Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.',"
Lightning,"['Colorless', 'Colorless'],Flying Flip,'This attack does 20 damage to each of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Electric Ball,'',100"
Lightning,"['Lightning', 'Colorless', 'Colorless', 'Colorless'],Electro Cannon,'Discard 3 Energy from this Pok\u00e9mon.',150"
Fire,"['Colorless', 'Colorless'],Tail Slap,'',20"
Fire,"['Fire', 'Fire', 'Fire'],Fireball,'Use this attack only if there are any Energy cards attached to Dark Charmeleon. Flip a coin. If heads, discard 1 of those Energy cards. If tails, this attack does nothing (not even damage).',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Tail Strike,'Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.',20+"
Grass,"['Grass', 'Grass'],Poisonpowder,'The Defending Pok\u00e9mon is now Poisoned.',20"
Lightning,"['Lightning'],Lightning Flash,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',20"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Thunder Attack,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed. If tails, Dark Jolteon does 10 damage to itself.',30"
Psychic,"['Psychic', 'Psychic'],Mind Shock,'Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)',30"
Grass,"['Grass', 'Grass'],Sludge Punch,'The Defending Pok\u00e9mon is now Poisoned.',30"
Water,"['Colorless', 'Colorless', 'Colorless'],Bite,'',30"
Water,"['Water', 'Water', 'Colorless'],Whirlpool,'If the Defending Pok\u00e9mon has any Energy cards attached to it, choose 1 of them and discard it.',20"
Water,"['Water'],Doubleslap,'Flip 2 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Water,"['Water', 'Colorless'],Mirror Shell,'If an attack does damage to Dark Wartortle during your opponent's next turn (even if Dark Wartortle is Knocked Out), Dark Wartortle attacks the Defending Pok\u00e9mon for an equal amount of damage.',"
Water,"['Colorless'],Flop,'',10"
Water,"['Water', 'Water', 'Water'],Rapid Evolution,'Search your deck for an Evolution card named Gyarados or Dark Gyarados and put it on Magikarp. (This counts as evolving Magikarp.) Shuffle your deck afterward.',"
Psychic,"['Psychic'],Vanish,'Shuffle Abra into your deck. (Discard all cards attached to Abra.)',"
Psychic,"['Psychic'],Psyshock,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Fire,"['Fire'],Fire Tail,'',20"
Colorless,"['Colorless', 'Colorless'],Wrap,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Colorless,"['Colorless'],Tackle,'',10"
Colorless,"['Colorless', 'Colorless'],Sand-attack,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',10"
Grass,"['Colorless'],Bite,'',10"
Grass,"['Grass', 'Grass'],Poison Sting,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.',"
Fighting,"['Colorless'],Mischief,'Shuffle your opponent's deck.',"
Fighting,"['Fighting', 'Colorless'],Anger,'Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.',20+"
Water,"['Fighting'],Iron Defense,'Flip a coin. If heads, prevent all damage done to this Pok\u00e9mon by attacks during your opponent's next turn.',"
Water,"['Lightning', 'Colorless'],Tackle,'',20"
Psychic,"['Psychic'],Psybeam,'Your opponent's Active Pok\u00e9mon is now Confused.',30"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Psychic,'This attack does 30 more damage times the amount of Energy attached to your opponent's Active Pok\u00e9mon.',60+"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Divide-GX,'Put 10 damage counters on your opponent's Pok\u00e9mon in any way you like. (You can't use more than 1 GX attack in a game.)',"
Grass,"['Grass'],Sleep Powder,'The Defending Pok\u00e9mon is now Asleep.',"
Grass,"['Grass'],Poisonpowder,'The Defending Pok\u00e9mon is now Poisoned.',10"
Fire,"['Fire', 'Colorless'],Ember,'Discard 1 Energy card attached to Ponyta in order to use this attack.',30"
Water,"['Psychic'],Dizziness,'Draw a card.',"
Water,"['Water', 'Colorless'],Water Gun,'Does 20 damage plus 10 more damage for each Energy attached to Psyduck but not used to pay for this attack. You can't add more than 20 damage in this way.',20+"
Lightning,"['Lightning', 'Lightning', 'Lightning'],Surprise Thunder,'Flip a coin. If heads, flip another coin. If the second coin is heads, this attack does 20 damage to each of your opponent's Benched Pok\u00e9mon. If the second coin is tails, this attack does 10 damage to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',30"
Psychic,"['Colorless'],Dust Gathering,'Draw a card.',"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Teleport Blast,'You may switch Dark Alakazam with 1 of your Benched Pok\u00e9mon (Do the damage before switching the Pok\u00e9mon).',30"
Psychic,"['Psychic', 'Psychic', 'Psychic'],Mind Shock,'Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)',40"
Water,"['Water', 'Water', 'Water'],Ice Beam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',30"
Water,"['Water', 'Water'],Hydrocannon,'Does 30 damage plus 20 more damage for each W Energy attached to Dark Blastoise but not used to pay for this attack. You can't add more than 40 damage in this way.',30+"
Water,"['Water', 'Colorless', 'Colorless'],Rocket Tackle,'Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. (Any other effects of attacks still happen.)',40"
Fighting,"['Fighting', 'Fighting'],Knock Down,'Your opponent flips a coin. If tails, this attack does 20 damage plus 20 more damage; if heads, this attack does 20 damage.',20+"
Psychic,"['Psychic', 'Psychic'],Fickle Attack,'Flip a coin. If tails, this attack does nothing.',"
Grass,"['Grass', 'Grass', 'Grass'],Petal Whirlwind,'Flip 3 coins. This attack does 30 damage times the number of heads. If you get 2 or more heads, Dark Vileplume is now Confused (after dealing damage).',30\u00d7"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Drag Off,'Before doing damage, choose 1 of your opponent's Benched Pok\u00e9mon and switch it with the Defending Pok\u00e9mon. Do the damage to the new Defending Pok\u00e9mon. This attack can't be used if your opponent has no Benched Pok\u00e9mon.',20"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Knock Back,'If your opponent has any Benched Pok\u00e9mon, he or she chooses 1 of them and switches it with the Defending Pok\u00e9mon. (Do the damage before switching the Pok\u00e9mon.)',30"
Fighting,"['Fighting'],Dig Under,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after Applying Weakness and Resistance still happen.)',10"
Fighting,"['Fighting', 'Colorless'],Scratch,'',20"
Psychic,"['Psychic', 'Colorless'],Nightmare,'The Defending Pok\u00e9mon is now Asleep.',10"
Fighting,"['Colorless', 'Colorless'],Punch,'',20"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Kick,'',30"
Colorless,"['Colorless', 'Colorless'],Coin Hurl,'Choose 1 of your opponent's Pok\u00e9mon and flip a coin. If heads, this attack does 20 damage to that Pok\u00e9mon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)',"
Psychic,"['Colorless'],Afternoon Nap,'Search your deck for a Energy card and attach it to Slowpoke. Shuffle your deck afterward.',"
Psychic,"['Psychic'],Headbutt,'',10"
Colorless,"['Colorless'],Lead,'Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.',"
Colorless,"['Fairy', 'Fairy', 'Fairy'],Bright Horns,'This Pok\u00e9mon can't use Bright Horns during your next turn.',130"
Fire,"['Fire', 'Fire', 'Colorless'],Fiery Blast,'Discard an Energy from this Pok\u00e9mon.',130"
Fire,"['Colorless'],Singe,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Burned.',"
Fire,"['Colorless', 'Colorless'],Lunge,'Flip a coin. If tails, this attack does nothing.',60"
Fire,"['Fire', 'Fire'],Infinity,'This attack does 20 damage for each basic Energy card in your discard pile. Then, shuffle those cards into your deck.',20\u00d7"
Fire,"['Colorless', 'Colorless'],Damage Rush,'Flip a coin until you get tails. This attack does 30 more damage for each heads.',10+"
